"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9366","test_my_account_page","tests","2026-07-10","broken","2026-07-10","","test_my_account_page","",""
"","4725","test_valid_user_login","tests","2026-07-10","passed","2026-07-10","","test_login","",""
"","611","test_product_search","tests","2026-07-10","passed","2026-07-10","","test_product_search","",""
"","2655","test_user_registration","tests","2026-07-10","passed","2026-07-10","","test_user_registration","",""
